Date,index300,index50
2017/1/3,3342.227,2307.892
2017/1/4,3368.312,2322.206
2017/1/5,3367.789,2322.684
2017/1/6,3347.667,2308.936
2017/1/9,3363.901,2318.337
2017/1/10,3358.272,2312.599
2017/1/11,3334.495,2300.475
2017/1/12,3317.624,2295.403
2017/1/13,3319.912,2308.055
2017/1/16,3319.446,2337.394
2017/1/17,3326.356,2329.595
2017/1/18,3339.365,2342.775
2017/1/19,3329.289,2334.957
2017/1/20,3354.889,2347.183
2017/1/23,3364.081,2347.105
2017/1/24,3364.451,2352.424
2017/1/25,3375.904,2358.697
2017/1/26,3387.961,2364.024
2017/2/3,3364.492,2339.989
2017/2/6,3373.205,2343.967
2017/2/7,3365.685,2337.535
2017/2/8,3383.288,2346.426
2017/2/9,3396.292,2354.901
2017/2/10,3413.487,2368.183
2017/2/13,3436.275,2379.306
2017/2/14,3435.804,2373.514
2017/2/15,3421.713,2372.192
2017/2/16,3440.933,2376.763
2017/2/17,3421.442,2362.709
2017/2/20,3471.393,2394.12
2017/2/21,3482.823,2396.884
2017/2/22,3489.757,2398.192
2017/2/23,3473.324,2387.417
2017/2/24,3473.852,2389.877
2017/2/27,3446.223,2370.559
2017/2/28,3452.81,2370.707
2017/3/1,3458.438,2371.925
2017/3/2,3435.096,2354.913
2017/3/3,3427.863,2347.146
2017/3/6,3446.484,2349.889
2017/3/7,3453.957,2356.293
2017/3/8,3448.731,2358.074
2017/3/9,3426.944,2346.553
2017/3/10,3427.892,2339.234
2017/3/13,3458.098,2354.89
2017/3/14,3456.693,2354.9
2017/3/15,3463.644,2357.307
2017/3/16,3481.507,2369.194
2017/3/17,3445.805,2346.96
2017/3/20,3449.613,2350.067
2017/3/21,3466.347,2357.136
2017/3/22,3450.05,2338.547
2017/3/23,3461.978,2347.434
2017/3/24,3489.6,2365.604
2017/3/27,3478.039,2364.428
2017/3/28,3469.809,2356.314
2017/3/29,3465.193,2352.694
2017/3/30,3436.758,2346.667
2017/3/31,3456.046,2359.752
2017/4/5,3503.893,2384.264
2017/4/6,3514.047,2390.389
2017/4/7,3517.463,2388.271
2017/4/10,3505.139,2379.157
2017/4/11,3517.328,2382.109
2017/4/12,3509.439,2378.863
2017/4/13,3514.566,2368.106
2017/4/14,3486.505,2355.52
2017/4/17,3479.942,2357.523
2017/4/18,3462.743,2337.351
2017/4/19,3445.876,2325.042
2017/4/20,3461.548,2335.647
2017/4/21,3466.787,2347.675
2017/4/24,3431.259,2341.93
2017/4/25,3440.974,2344.741
2017/4/26,3445.183,2344.505
2017/4/27,3446.72,2351.64
2017/4/28,3439.753,2347.039
2017/5/2,3426.577,2336.792
2017/5/3,3413.128,2329.766
2017/5/4,3404.386,2325.433
2017/5/5,3382.55,2320.602
2017/5/8,3358.813,2326.097
2017/5/9,3352.532,2316.294
2017/5/10,3337.701,2324.922
2017/5/11,3356.646,2339.29
2017/5/12,3385.379,2375.45
2017/5/15,3399.194,2381.752
2017/5/16,3428.649,2381.317
2017/5/17,3409.966,2363.559
2017/5/18,3398.113,2354.753
2017/5/19,3403.849,2361.662
2017/5/22,3411.239,2381.553
2017/5/23,3424.194,2411.8
2017/5/24,3424.167,2407.571
2017/5/25,3485.658,2473.495
2017/5/26,3480.435,2471.214
2017/5/31,3492.885,2479.078
2017/6/1,3497.738,2496.448
2017/6/2,3486.507,2475.464
2017/6/5,3468.754,2450.346
2017/6/6,3492.882,2466.006
2017/6/7,3533.872,2484.033
2017/6/8,3560.979,2507.034
2017/6/9,3576.17,2519.273
2017/6/12,3574.389,2521.168
2017/6/13,3582.267,2515.143
2017/6/14,3535.299,2477.317
2017/6/15,3528.793,2461.974
2017/6/16,3518.761,2452.79
2017/6/19,3553.665,2484.116
2017/6/20,3546.494,2474.425
2017/6/21,3587.955,2497.254
2017/6/22,3590.343,2516.673
2017/6/23,3622.883,2529.098
2017/6/26,3668.092,2543.321
2017/6/27,3674.715,2554.7
2017/6/28,3646.167,2537.636
2017/6/29,3668.828,2552.975
2017/6/30,3666.798,2549.968
2017/7/3,3650.846,2534.368
2017/7/4,3619.984,2511.151
2017/7/5,3659.68,2548.099
2017/7/6,3660.097,2553.879
2017/7/7,3655.929,2543.658
2017/7/10,3653.687,2550.115
2017/7/11,3670.809,2570.592
2017/7/12,3658.824,2565.143
2017/7/13,3686.921,2600.954
2017/7/14,3703.094,2622.984
2017/7/17,3663.558,2631.414
2017/7/18,3667.181,2624.308
2017/7/19,3729.747,2657.888
2017/7/20,3747.884,2665.448
2017/7/21,3728.598,2639.213
2017/7/24,3743.469,2654.379
2017/7/25,3719.559,2643.073
2017/7/26,3705.388,2636.201
2017/7/27,3712.195,2636.626
2017/7/28,3721.891,2636.394
2017/7/31,3737.873,2638.124
2017/8/1,3770.383,2681.805
2017/8/2,3760.853,2680.631
2017/8/3,3727.826,2646.216
2017/8/4,3707.58,2627.803
2017/8/7,3726.795,2634.176
2017/8/8,3732.213,2635.184
2017/8/9,3731.044,2620.381
2017/8/10,3715.921,2611.341
2017/8/11,3647.35,2570.257
2017/8/14,3694.683,2591.454
2017/8/15,3706.057,2605.242
2017/8/16,3701.421,2595.002
2017/8/17,3721.277,2604.084
2017/8/18,3724.675,2613.265
2017/8/21,3740.994,2616.825
2017/8/22,3752.298,2643.503
2017/8/23,3756.088,2659.78
2017/8/24,3734.646,2646.402
2017/8/25,3795.754,2706.242
2017/8/28,3842.712,2736.462
2017/8/29,3834.538,2739.129
2017/8/30,3834.301,2728.231
2017/8/31,3822.093,2714.631
2017/9/1,3830.538,2710.119
2017/9/4,3845.616,2711.348
2017/9/5,3857.046,2729.848
2017/9/6,3849.45,2714.331
2017/9/7,3829.871,2691.829
2017/9/8,3825.99,2686.69
2017/9/11,3825.645,2674.75
2017/9/12,3837.934,2692.54
2017/9/13,3842.606,2687.671
2017/9/14,3829.955,2672.836
2017/9/15,3831.297,2668.376
2017/9/18,3843.143,2674.176
2017/9/19,3832.116,2670.691
2017/9/20,3842.435,2662.627
2017/9/21,3837.818,2675.551
2017/9/22,3837.73,2679.053
2017/9/25,3817.792,2680.652
2017/9/26,3820.782,2678.991
2017/9/27,3821.2,2661.553
2017/9/28,3822.539,2661.283
2017/9/29,3836.501,2672.327
2017/10/9,3882.208,2692.077
2017/10/10,3889.864,2695.537
2017/10/11,3902.687,2707.522
2017/10/12,3912.954,2718.351
2017/10/13,3921.002,2713.377
2017/10/16,3913.446,2726.642
2017/10/17,3913.069,2723.535
2017/10/18,3944.163,2753.011
2017/10/19,3931.25,2756.035
2017/10/20,3926.852,2737.641
2017/10/23,3930.798,2734.368
2017/10/24,3959.395,2753.649
2017/10/25,3976.949,2752.139
2017/10/26,3993.575,2771.044
2017/10/27,4021.968,2814.272
2017/10/30,4009.722,2809.107
2017/10/31,4006.718,2793.712
2017/11/1,3996.622,2789.402
2017/11/2,3997.134,2794.102
2017/11/3,3992.698,2800.469
2017/11/6,4020.89,2792.224
2017/11/7,4054.247,2821.956
2017/11/8,4048.006,2819.957
2017/11/9,4075.9,2832.961
2017/11/10,4111.911,2862.343
2017/11/13,4128.073,2873.515
2017/11/14,4099.351,2861.423
2017/11/15,4073.67,2850.05
2017/11/16,4105.012,2879.398
2017/11/17,4120.851,2938.798
2017/11/20,4143.833,2941.153
2017/11/21,4217.702,2987.173
2017/11/22,4227.567,3012.355
2017/11/23,4102.397,2940.726
2017/11/24,4104.203,2936.834
2017/11/27,4049.948,2917.306
2017/11/28,4055.824,2897.107
2017/11/29,4053.753,2893.283
2017/11/30,4006.099,2863.447
2017/12/1,3998.137,2842.184
2017/12/4,4018.857,2861.361
2017/12/5,4040.17,2910.476
2017/12/6,4015.821,2875.732
2017/12/7,3971.057,2848.888
2017/12/8,4003.379,2865.341
2017/12/11,4069.5,2899.104
2017/12/12,4016.016,2850.197
2017/12/13,4050.093,2872.94
2017/12/14,4026.152,2850.046
2017/12/15,3980.856,2820.167
2017/12/18,3985.291,2829.059
2017/12/19,4035.329,2873.03
2017/12/20,4030.49,2879.643
2017/12/21,4067.849,2895.366
2017/12/22,4054.598,2880.773
2017/12/25,4041.54,2880.097
2017/12/26,4053.622,2894.336
2017/12/27,3991.208,2839.635
2017/12/28,4018.897,2859.054
2017/12/29,4030.855,2860.436
